"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R41_DR1","1608[0603]","3680mil","1310mil","3680mil","1310mil","3680mil","1282.441mil","T","90.00","330"
"R41_DR2","1608[0603]","2575mil","1535mil","2575mil","1535mil","2602.559mil","1535mil","T","180.00","330"
"R42_DR1","1608[0603]","3655mil","1400mil","3655mil","1400mil","3627.441mil","1400mil","T","360.00","330"
"R42_DR2","1608[0603]","2575mil","1435mil","2575mil","1435mil","2602.559mil","1435mil","T","180.00","330"
"R43_DR1","1608[0603]","3655mil","1500mil","3655mil","1500mil","3627.441mil","1500mil","T","360.00","330"
"R43_DR2","1608[0603]","2575mil","1340mil","2575mil","1340mil","2602.559mil","1340mil","T","180.00","330"
"R44_DR1","1608[0603]","4185mil","1365mil","4185mil","1365mil","4185mil","1337.441mil","B","90.00","10K"
"R44_DR2","1608[0603]","2150mil","1350mil","2150mil","1350mil","2150mil","1322.441mil","B","90.00","10K"
"R45_DR1","1608[0603]","4380mil","1390mil","4380mil","1390mil","4380mil","1417.559mil","T","270.00","10K"
"R45_DR2","1608[0603]","2378.521mil","1350mil","2378.521mil","1350mil","2378.521mil","1377.559mil","B","270.00","10K"
"R46_DR1","1608[0603]","4327.5mil","1390mil","4327.5mil","1390mil","4327.5mil","1417.559mil","T","270.00","10K"
"R46_DR2","1608[0603]","2314.956mil","1350mil","2314.956mil","1350mil","2314.956mil","1377.559mil","B","270.00","10K"
"R47_DR1","1608[0603]","4030mil","1295mil","4030mil","1295mil","4057.559mil","1295mil","B","180.00","330K"
"R47_DR2","1608[0603]","1965mil","1315mil","1965mil","1315mil","1992.559mil","1315mil","B","180.00","330K"
"R48_DR1","1608[0603]","4275mil","1390mil","4275mil","1390mil","4275mil","1417.559mil","T","270.00","10K"
"R48_DR2","1608[0603]","2251.39mil","1350mil","2251.391mil","1350mil","2251.39mil","1377.559mil","B","270.00","10K"
"R49_DR1","1608[0603]","4340mil","1367.559mil","4340mil","1367.559mil","4340mil","1395.118mil","B","270.00","15K"
"R49_DR2","1608[0603]","2632.781mil","1350mil","2632.781mil","1350mil","2632.781mil","1377.559mil","B","270.00","15K"
"R50_DR1","1608[0603]","4235mil","1367.559mil","4235mil","1367.559mil","4235mil","1340mil","B","90.00","10K"
"R50_DR2","1608[0603]","2200mil","1350mil","2200mil","1350mil","2200mil","1322.441mil","B","90.00","10K"
"R51_DR1","1608[0603]","4395mil","1367.559mil","4395mil","1367.559mil","4395mil","1340mil","B","90.00","220K"
"R52_DR1","1608[0603]","4265mil","1295mil","4265mil","1295mil","4237.441mil","1295mil","B","360.00","3.3K"
"R52_DR2","1608[0603]","2442.086mil","1350mil","2442.086mil","1350mil","2442.086mil","1377.559mil","B","270.00","3.3K"
"R53_DR1","1608[0603]","4290mil","1367.559mil","4290mil","1367.559mil","4290mil","1395.118mil","B","270.00","18K"
"R53_DR2","1608[0603]","2505.651mil","1350mil","2505.651mil","1350mil","2505.651mil","1377.559mil","B","270.00","18K"
"R54_DR1","1608[0603]","4515mil","1825mil","4515mil","1825mil","4515mil","1852.559mil","B","270.00","DNI"
"R54_DR2","1608[0603]","2425mil","1820mil","2425mil","1820mil","2425mil","1847.559mil","B","270.00","DNI"
"R55_DR1","1608[0603]","4295mil","1945mil","4295mil","1945mil","4295mil","1917.441mil","B","90.00","1M"
"R55_DR2","1608[0603]","2245mil","1930mil","2245mil","1930mil","2245mil","1902.441mil","B","90.00","1M"
"R56_DR1","1608[0603]","3875mil","1980mil","3875mil","1980mil","3847.441mil","1980mil","B","360.00","18K"
"R56_DR2","1608[0603]","1835mil","1955mil","1835mil","1955mil","1807.441mil","1955mil","B","360.00","18K"
"R57","1608[0603]","1850mil","1870mil","1850mil","1870mil","1850mil","1842.441mil","T","90.00","2.2K"
"R58","1608[0603]","1935mil","1815mil","1935mil","1815mil","1907.441mil","1815mil","T","360.00","10K"
